text,ids
Compre Nespresso Vertuo Next en mayo de 2023. El producto dejo de funcionar en abril de 2024. con muy poco uso. (tiene 2 anos de garantia) Llame a Nespresso. quien me pidio que chateara por video para demostrar que estaba defectuoso. incluido enchufarlo a otros tomas de corriente y enchufar otros electrodomesticos para demostrar que el tomacorriente funcionaba. No aceptaran que lo devuelva a la tienda. de compra. No aceptaran que lo devuelva a una tienda Nespresso. La unica manera que me apoyaran es si les entrego el embalaje (compro embalaje ya que no tengo) y lo llevo a una oficina de correos para devolverlo para su reemplazo. Ni siquiera enviaran el reemplazo. por lo que puedo usar ese embalaje para devolver el articulo defectuoso. Entonces. Nespresso espera que me ocupe de un articulo suyo defectuoso. gaste mas dinero para devolverlo por correo y tambien espere. espere. espere. para una llamada y un reemplazo. Tenga en cuenta que no compre en linea. compre en una tienda y estoy feliz de regresar a una tienda... pero esto no es aceptable para Nespresso. Evite Nespresso si puede . porque cuando necesite servicio y garantia. simplemente tendra que dar vueltas.,0
Soy cliente desde hace 2 anos. Despues de 2 anos. mi maquina se estropeo; no puedo preparar cafe automaticamente. solo manualmente. Esperaba que durara mas de 2 anos. Mi experiencia con sus compras en linea no fue mejor. Pedi capsulas online porque no hay ninguna tienda cerca de donde vivo. Cuando he estado en la tienda. el servicio al cliente no es particularmente bueno: estan mas interesados ??en vender las maquinas que en que el cliente compre capsulas. Recientemente. mi pedido en linea llego a la direccion equivocada. No pude averiguar adonde fue; el representante de Nespresso no parecia estar preocupado. Quizas esten cobrando de mas por las capsulas. Si alguien esta considerando Nespresso. le recomendaria que pruebe con otras maquinas de cafe. No vale la pena molestarse.,1
Mi experiencia con el proceso de reparacion de mi Nespresso VERTUO NEXT PREMIUM SOLO CLASSIC BLACK ha sido desesperante. A pesar de pasar mas de tres horas en cinco llamadas de soporte y numerosas sesiones de chat. todavia no he recibido un reemplazo. Para colmo de males. inicialmente enviaron el articulo equivocado. Tratar con el soporte de Nespresso fue una prueba de paciencia. que implico conversaciones redundantes con varios representantes y ninguna solucion a la vista. Todo este proceso ha consumido mucho tiempo y ha sido frustrante. Tenga cuidado: si su maquina Nespresso necesita reparacion. preparese para un proceso largo y engorroso. Mi maquina aun no ha sido reemplazada y la ineficiencia de su sistema de soporte es alarmante. Considere esto antes de comprar si espera un servicio posventa rapido y confiable.,2
Llame para ver como reparar las maquinas y me dijeron que. como tenian 4 anos. estaban fuera de garantia. lo cual yo sabia. $ 240.00 por maquina para obtener una cotizacion de cada maquina. y me dijeron que hay una cantidad muy limitada de piezas disponibles. 2 maquinas con un costo total de $1500.00 con solo 4 anos para ser desechadas. Ya no soy cliente de Nespresso. Fue uno durante 10 anos.,3
Dios mio. servicio impactante. llame para preguntar alguna oferta especial sobre entrega gratuita de 50 o 100. obtuve una voz que sonaba asiatica. no sabia nada. pregunte el precio de las gorras Karaar. espere. espere. espere. $10.50 manga lo que subio $2 la manga si. dije impactante por favor revisa. si $10.50.?. Era aprendiz. Busque en el sitio web $ 8.60 y me llamaron. Recibi un hombre que habla asiatico/indio. no conocia a Kazaar. Dije una capsula. no una muneca... Dije: ¿Estoy llamando a Australia? ¿Estas en Australia? Si. No pude entenderlo y luego dije. ¡¡Estaba en Malasia!! Ahi radica el problema. Me encantaba hablar con algunos miembros de su personal para hacer pedidos. Amable. sabia de lo que estaban hablando. ¡estar feliz de ayudar! Desastre ahora. Si. recibi un correo electronico sobre como realizar pedidos en linea. Puede que sea Sue.,4
"Delicioso cafe para la gente de Chatswood. Mala suerte para todos los demas. Compre esta maquina porque podia comprar capsulas en linea o en una boutique cercana. Un ultimo punto de venta fue que podia entregar las capsulas usadas para reciclarlas. Desafortunadamente. el sitio web de Nespresso estaba ""obsoleto"" y la tienda local estaba ""cerrada permanentemente"". por lo que solo se realizan pedidos por correo y las capsulas no se aceptan para reciclar en ningun otro lugar que no sea la tienda ( no esta permitido en mi consejo de reciclaje). por lo que. de manera realista. simplemente es un vertedero costoso. No hay entrega el mismo dia para la segunda ciudad mas grande de Nueva Gales del Sur; el correo expreso tambien es una opcion inutil porque generalmente demora de 4 a 10 dias antes de que su sistema reconozca mi pedido. otro periodo aleatorio antes de enviarse. y el bit rapido es el tiempo que toma una vez que realmente se envia. La maquina funciona bien. pero no perfectamente y no puede confiar en poder obtener mas capsulas antes de que se acaben. Renuncio a las ofertas especiales porque siempre no estan disponibles cuando se realiza el pedido. pero no se entera hasta que no llega. Le diria lo que realmente pienso. pero me preocupa que los ninos o las monjas se sorprendan.",5
Sono para informar que la maquina no funciona. Paso 45 minutos realizando diagnosticos para que el agente le informara que la bomba ya no funcionaba y que la maquina debia ser reemplazada. Llame nuevamente al soporte para proporcionar el numero de serie y me dijeron que la maquina tenia que enviarse a su taller para su inspeccion y que tardaria 10- 14 dias antes de que se completara algo. Mientras tanto. estoy sin maquina de cafe. Estoy muy decepcionado de que no me hayan ofrecido una maquina de reemplazo. especialmente porque la que tengo tiene solo 5 meses. NUNCA volvere a comprar Nespresso.,6
Intente registrar la maquina Citiz en linea. Fue un proceso dificil y la promocion anunciada era una tonteria. Envio otra oferta de NA pero no fue lo prometido. Las capsulas tienen un precio ridiculo y sin dicha oferta no vale la pena el drama. Solo espero no tener ningun problema con la maquina al leer las resenas. Esta es mi segunda compra de Breville despues de que la primera (Breville Barista Pro) no funciono de inmediato. Tuve una experiencia terrible con The Good Guys Y Breville. ambos tambien tienen un servicio al cliente poco fiable. Queria un reemplazo pero solo me reembolsarian el dinero. Gran decepcion. pero hasta ahora me gusta la maquina.,7
Bien hecho Nespresso. otra maquina Vertuo fallida. La maquina ya regreso por el mismo problema dos veces. aparentemente arreglada (agua goteando por el fondo). pero aqui estamos meses despues y tiene una fuga nuevamente. Solo consigue un robot en el chat. no una persona real que te ayude. ¡¡Hasta aqui la comodidad del cafe!!,8
"Pesimo servicio He estado pidiendo maquinas de cafe y monodosis Nespresso durante casi 3 anos. Aunque a veces el tiempo de entrega es mayor que el ""Garantizado"" 1-3 dias habiles generalmente 5-7 Pedi una maquina para mi oficina de trabajo $ 240 y nuevamente me garantizaron 1- 3 dias habiles para que llegue la maquina. Una semana despues. llame al numero de servicio y me dijeron que estaba en ""pedido pendiente"" y que pasarian otras 1 o 2 semanas antes de la entrega. Me senti realmente decepcionado y pedi cancelar el pedido por completo solo para que me dijeran que entonces tendria que esperar ""15 dias habiles"". es decir. 3 semanas para obtener un reembolso. Este es un servicio al cliente tan malo y totalmente inaceptable para un cliente leal a largo plazo. y ""cliente valioso"" (Mi gasto habitual seria de alrededor de $300 por vez o $2500 por ano. Nunca volvere a comprarle a Nespresso y compartire mi terrible experiencia con mucha gente. ya que yo mismo estoy en el negocio de servicio al cliente. Puede que sea un pececito En un estanque muy grande. ¡pero saldre para siempre!",9
